gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
TSPAN33	7	FALSE	152.374263006729	0.296219239233525	0.255825766559253	1.15789446550888	0.246907106365989	FALSE	FALSE	Male higher
ZNF83	19	FALSE	1854.99573622996	-0.171394092590767	0.148049246280381	-1.15768297979832	0.246993432183958	FALSE	FALSE	Female higher
BRI3	7	FALSE	961.120294262841	0.119938102446187	0.103603380929327	1.15766591177176	0.247000400060401	FALSE	FALSE	Male higher
SLC35B2	6	FALSE	743.573639885263	0.229441846258149	0.19820243398602	1.15761366620923	0.247021729721982	FALSE	FALSE	Male higher
FDFT1	8	FALSE	4328.89191807375	0.168993926126983	0.146005652215139	1.15744783549866	0.247089439959022	FALSE	FALSE	Male higher
MRPS18BP2	2	FALSE	66.7960306244828	0.183807136810611	0.158830447583853	1.15725378607632	0.2471686886646	FALSE	FALSE	Male higher
GABRE	X	TRUE	7421.38552658959	-0.314434430289035	0.271722901990404	-1.15718781150121	0.247195636368655	FALSE	FALSE	Female higher
ZSWIM7	17	FALSE	510.737322113075	0.135521558332108	0.117143933192834	1.15688072474929	0.24732109483861	FALSE	FALSE	Male higher
UBAC2	13	FALSE	1081.3337818929	0.0942513106153042	0.0814751956431947	1.15680987165787	0.247350047777758	FALSE	FALSE	Male higher
DPY19L4P1	1	FALSE	114.654686272779	0.168652956098921	0.145797807489455	1.15675920648614	0.247370752714029	FALSE	FALSE	Male higher
HPCAL1	2	FALSE	723.4510983826	-0.219263000635236	0.189592062596212	-1.15649884089407	0.247477173409655	FALSE	FALSE	Female higher
PEX6	6	FALSE	1690.77901376275	-0.125193809618091	0.108265782944024	-1.15635620242842	0.247535488421771	FALSE	FALSE	Female higher
TUBB2BP1	6	FALSE	384.361918384118	0.280565564400618	0.24264526924184	1.15627873264235	0.247567164494987	FALSE	FALSE	Male higher
CTH	1	FALSE	74.5098403511861	-0.286568700758118	0.247841636532101	-1.15625729707043	0.247575929635663	FALSE	FALSE	Female higher
BMP6	6	FALSE	206.202131020216	0.197162238118152	0.1705189992882	1.15624791924166	0.247579764357356	FALSE	FALSE	Male higher
YBX3P1	16	FALSE	2611.06629369294	0.175877317470074	0.152128227993326	1.15611231255379	0.247635220423834	FALSE	FALSE	Male higher
HERPUD1	16	FALSE	2938.89887326772	-0.149094653359577	0.128983733576101	-1.15591826369028	0.247714591416972	FALSE	FALSE	Female higher
CSNK1E	22	FALSE	519.099253963705	-0.179837962957413	0.155611628814141	-1.1556845997172	0.247810189641135	FALSE	FALSE	Female higher
CTSZ	20	FALSE	4167.3648518614	0.245760234256787	0.212724788591095	1.15529664353877	0.247968969983445	FALSE	FALSE	Male higher
